Year,State,State Code,Agency,Fires - Human/Rx,Acres - Human/Rx,Fires - Lightning/Wildland,Acres - Lightning/Wildland
2019,Alabama,AL,FS,28,6130,1,1
2019,Alabama,AL,OTHR,21,493,0,0
2019,Alabama,AL,ST,1057,15534,0,0
2019,Alaska,AK,BLM,51,35185,198,1655106
2019,Alaska,AK,FS,45,10,1,3
2019,Alaska,AK,ST,253,8866,172,798989
2019,Arizona,AZ,BIA,547,19217,59,37195
2019,Arizona,AZ,BLM,130,5614,45,5314
2019,Arizona,AZ,DOD,0,0,2,1178
2019,Arizona,AZ,FS,321,137904,287,140521
2019,Arizona,AZ,FWS,9,34,3,54
2019,Arizona,AZ,NPS,22,87,10,21865
2019,Arizona,AZ,ST,434,15959,0,0
2019,Arkansas,AR,FS,63,941,0,0
2019,Arkansas,AR,FWS,2,3,0,0
2019,Arkansas,AR,NPS,10,10,0,0
2019,Arkansas,AR,OTHR,585,7648,0,0
2019,California,CA,BIA,80,334,0,0
2019,California,CA,BLM,118,5605,38,2934
2019,California,CA,C&L,15,87,0,0
2019,California,CA,FS,686,78075,315,34327
2019,California,CA,FWS,15,2754,0,0
2019,California,CA,NPS,24,111,10,0
2019,California,CA,ST,6759,129189,134,5732
2019,Colorado,CO,BIA,11,22,47,747
2019,Colorado,CO,BLM,41,118,172,4518
2019,Colorado,CO,C&L,131,8703,124,5989
2019,Colorado,CO,FS,163,4462,143,15522
2019,Colorado,CO,FWS,1,0,1,5
2019,Colorado,CO,NPS,4,192,10,0
2019,Colorado,CO,ST,1,0,3,40
2019,Colorado,CO,USA,1,25,4,49
2019,Florida,FL,BIA,0,0,2,1
2019,Florida,FL,DOD,81,14327,7,312
2019,Florida,FL,FS,51,1047,35,7144
2019,Florida,FL,FWS,5,4414,3,1085
2019,Florida,FL,NPS,5,847,24,1810
2019,Florida,FL,OTHR,90,224,3,189
2019,Florida,FL,ST,1428,13039,387,78061
2019,Georgia,GA,DOD,0,0,1,0
2019,Georgia,GA,FS,5,6,1,1
2019,Georgia,GA,FWS,0,0,2,273
2019,Georgia,GA,NPS,4,1,0,0
2019,Georgia,GA,ST,3145,12126,0,0
2019,Hawaii,HI,C&L,155,10710,0,0
2019,Idaho,ID,BIA,22,152,4,7
2019,Idaho,ID,BLM,109,78932,76,69016
2019,Idaho,ID,C&L,55,1576,10,628
2019,Idaho,ID,DOD,0,0,2,112157
2019,Idaho,ID,FS,112,1057,296,19036
2019,Idaho,ID,FWS,1,16,0,0
2019,Idaho,ID,ST,180,1417,93,32
2019,Illinois,IL,FS,1,13,0,0
2019,Illinois,IL,ST,1,28,0,0
2019,Indiana,IN,FS,3,3,0,0
2019,Indiana,IN,FWS,2,2,0,0
2019,Indiana,IN,NPS,27,508,0,0
2019,Indiana,IN,ST,6,10,0,0
2019,Iowa,IA,FWS,6,374,0,0
2019,Iowa,IA,ST,147,1646,0,0
2019,Kansas,KS,BIA,6,464,0,0
2019,Kansas,KS,C&L,9,13648,0,0
2019,Kansas,KS,FWS,0,55,0,0
2019,Kansas,KS,NPS,1,0,0,0
2019,Kansas,KS,USA,3,7000,0,0
2019,Kentucky,KY,FS,44,1696,1,25
2019,Kentucky,KY,ST,710,9993,0,0
2019,Louisiana,LA,FS,40,440,1,81
2019,Louisiana,LA,FWS,0,0,2,289
2019,Louisiana,LA,ST,318,2249,0,0
2019,Maine,ME,ST,344,135,11,7
2019,Maryland,MD,FWS,1,0,0,0
2019,Maryland,MD,ST,134,1472,5,26
2019,Massachusetts,MA,ST,289,248,0,0
2019,Michigan,MI,BIA,7,7,0,0
2019,Michigan,MI,FS,127,152,2,0
2019,Michigan,MI,ST,216,939,9,30
2019,Minnesota,MN,BIA,316,568,0,0
2019,Minnesota,MN,FS,43,59,7,15
2019,Minnesota,MN,FWS,18,597,0,0
2019,Minnesota,MN,ST,637,4623,0,0
2019,Mississippi,MS,FS,39,4028,0,0
2019,Mississippi,MS,FWS,1,1,0,0
2019,Mississippi,MS,NPS,1,1,0,0
2019,Mississippi,MS,OTHR,918,1443,0,0
2019,Missouri,MO,FS,63,5075,0,0
2019,Missouri,MO,NPS,4,16,0,0
2019,Montana,MT,BIA,248,3584,45,5540
2019,Montana,MT,BLM,12,562,38,353
2019,Montana,MT,C&L,434,15540,110,16617
2019,Montana,MT,FS,144,682,191,7713
2019,Montana,MT,FWS,3,1,9,8589
2019,Montana,MT,NPS,2,0,2,0
2019,Montana,MT,ST,139,5383,97,271
2019,Nebraska,NE,BIA,1,1,0,0
2019,Nebraska,NE,FS,5,628,1,25
2019,Nebraska,NE,FWS,0,4958,0,0
2019,Nebraska,NE,ST,5,3859,3,7
2019,Nevada,NV,BLM,148,9858,168,42544
2019,Nevada,NV,C&L,121,5045,39,4231
2019,Nevada,NV,DOD,1,0,0,0
2019,Nevada,NV,FS,20,3490,34,16706
2019,Nevada,NV,FWS,4,0,1,0
2019,Nevada,NV,NPS,10,9,1,0
2019,Nevada,NV,OTHR,6,176,1,1
2019,Nevada,NV,ST,8,223,0,0
2019,New Hampshire,NH,FS,1,1,0,0
2019,New Hampshire,NH,ST,15,24,0,0
2019,New Jersey,NJ,FFS,727,11346,0,0
2019,New Mexico,NM,BIA,60,135,29,401
2019,New Mexico,NM,BLM,52,114,45,750
2019,New Mexico,NM,DOE,3,4,0,0
2019,New Mexico,NM,FS,148,15793,193,45601
2019,New Mexico,NM,FWS,0,0,2,1
2019,New Mexico,NM,NPS,1,0,13,345
2019,New Mexico,NM,ST,188,7223,125,9521
2019,New York,NY,FWS,1,0,0,0
2019,New York,NY,NPS,4,8,0,0
2019,New York,NY,ST,71,212,3,1
2019,North Carolina,NC,BIA,10,8,0,0
2019,North Carolina,NC,DOD,79,5109,0,0
2019,North Carolina,NC,FS,23,322,1,0
2019,North Carolina,NC,FWS,1,7,0,0
2019,North Carolina,NC,OTHR,1,8,0,0
2019,North Carolina,NC,ST,3670,8495,87,599
2019,North Dakota,ND,BIA,467,2895,3,2
2019,North Dakota,ND,FS,6,120,0,0
2019,North Dakota,ND,FWS,9,1431,2,5
2019,North Dakota,ND,NPS,1,1,0,0
2019,Ohio,OH,FS,125,120,0,0
2019,Ohio,OH,ST,373,918,0,0
2019,Oklahoma,OK,BIA,394,28194,3,201
2019,Oklahoma,OK,FWS,5,109,0,0
2019,Oklahoma,OK,OTHR,168,2184,0,0
2019,Oklahoma,OK,ST,534,36454,0,0
2019,Oregon,OR,BIA,40,235,7,6
2019,Oregon,OR,BLM,64,853,155,9567
2019,Oregon,OR,C&L,18,4156,7,41
2019,Oregon,OR,DOF,732,15985,284,203
2019,Oregon,OR,FS,329,870,640,24341
2019,Oregon,OR,FWS,4,72,3,23401
2019,Oregon,OR,NPS,5,1,5,1
2019,Pennsylvania,PA,NPS,14,3,0,0
2019,Pennsylvania,PA,ST,532,688,1,0
2019,Puerto Rico,PR,FWS,12,78,0,0
2019,Puerto Rico,PR,ST,85,2828,0,0
2019,Rhode Island,RI,ST,45,33,0,0
2019,South Carolina,SC,FS,26,1993,1,97
2019,South Carolina,SC,FWS,1,51,0,0
2019,South Carolina,SC,OTHR,944,3666,15,116
2019,South Carolina,SC,ST,5,16,0,0
2019,South Dakota,SD,BIA,119,1264,12,8
2019,South Dakota,SD,BLM,1,0,1,0
2019,South Dakota,SD,FS,12,1,19,148
2019,South Dakota,SD,FWS,0,30,0,0
2019,South Dakota,SD,ST,150,732,32,78
2019,Tennessee,TN,FS,26,122,4,72
2019,Tennessee,TN,NPS,3,7,1,0
2019,Tennessee,TN,OTHR,0,74,0,0
2019,Tennessee,TN,ST,535,5190,2,13
2019,Texas,TX,C&L,6048,61604,221,12735
2019,Texas,TX,FS,9,11,3,2
2019,Texas,TX,FWS,7,486,0,0
2019,Texas,TX,NPS,13,1133,3,7
2019,Texas,TX,PR,3,3,0,0
2019,Texas,TX,ST,495,99881,90,39631
2019,Utah,UT,BIA,15,15,16,113
2019,Utah,UT,BLM,92,13309,122,30989
2019,Utah,UT,DOD,6,590,0,0
2019,Utah,UT,FS,79,3753,72,16236
2019,Utah,UT,FWS,2,2,0,0
2019,Utah,UT,NPS,4,1,7,437
2019,Utah,UT,ST,492,8078,118,18857
2019,Vermont,VT,FS,4,0,0,0
2019,Vermont,VT,ST,15,22,0,0
2019,Virginia,VA,FS,14,760,0,0
2019,Virginia,VA,NPS,3,8,0,0
2019,Virginia,VA,ST,347,1875,0,0
2019,Washington,WA,BIA,131,3647,67,46055
2019,Washington,WA,BLM,52,37397,3,11
2019,Washington,WA,FS,70,490,86,5233
2019,Washington,WA,FWS,31,42081,3,4
2019,Washington,WA,NPS,10,1,9,3
2019,Washington,WA,ST,773,34533,159,286
2019,West Virginia,WV,FS,6,1321,0,0
2019,West Virginia,WV,NPS,1,5,0,0
2019,West Virginia,WV,ST,586,6327,0,0
2019,Wisconsin,WI,FS,30,16,0,0
2019,Wisconsin,WI,ST,680,1182,0,0
2019,Wyoming,WY,BIA,58,273,3,14
2019,Wyoming,WY,BLM,48,484,68,15422
2019,Wyoming,WY,BOR,1,0,0,0
2019,Wyoming,WY,C&L,109,1350,59,9589
2019,Wyoming,WY,FS,47,52,43,11329
2019,Wyoming,WY,FWS,3,49,0,0
2019,Wyoming,WY,NPS,11,6,9,110
2019,Wyoming,WY,ST,20,1631,7,1548
2018,Alabama,AL,FS,11,244.5,0,0
2018,Alabama,AL,FWS,0,0,0,0
2018,Alabama,AL,OTHR,7,238,0,0
2018,Alabama,AL,ST,952,14981.3,0,0
2018,Alaska,AK,BLM,31,645,92,363997
2018,Alaska,AK,DVF,160,28273,46,17740
2018,Alaska,AK,FS,38,28,0,0
2018,Arizona,AZ,BIA,469,28959,59,2707
2018,Arizona,AZ,BLM,104,2738,39,2745
2018,Arizona,AZ,DOD,3,36,0,0
2018,Arizona,AZ,DVF,376,23294,12,10425
2018,Arizona,AZ,FS,399,31224,501,51366
2018,Arizona,AZ,FWS,4,8,1,15
2018,Arizona,AZ,NPS,9,175,24,11664
2018,Arkansas,AR,FS,90,3089,9,1305
2018,Arkansas,AR,FWS,1,10,0,0
2018,Arkansas,AR,NPS,14,367,0,0
2018,Arkansas,AR,OTHR,1005,19300,0,0
2018,Arkansas,AR,ST,0,0,0,0
2018,California,CA,BIA,119,4434.1,2,200
2018,California,CA,BLM,103,3824,12,791.9
2018,California,CA,C&L,42,103106,0,0
2018,California,CA,CDF,6712,930270,0,0
2018,California,CA,FS,708,614032.6,257,114862.6
2018,California,CA,FWS,9,14,0,0
2018,California,CA,NPS,56,50365,34,1253
2018,California,CA,OTHR,0,0,0,0
2018,California,CA,USN,0,0,0,0
2018,Colorado,CO,BIA,19,153,88,82
2018,Colorado,CO,BLM,53,22504,308,30349
2018,Colorado,CO,C&L,242,242674,177,16002
2018,Colorado,CO,FS,160,76816,224,70108
2018,Colorado,CO,FWS,2,0,1,0
2018,Colorado,CO,NPS,7,17,24,255
2018,Colorado,CO,OES,0,6215,1,0
2018,Colorado,CO,OTHR,0,0,0,159
2018,Colorado,CO,USA,19,10413,2,33
2018,Colorado,CO,USAF,0,0,1,23
2018,Connecticut,CT,NPS,0,0,0,0
2018,Connecticut,CT,ST,52,40,0,0
2018,Delaware,DE,FWS,0,0,0,0
2018,Florida,FL,BIA,5,4180,2,79
2018,Florida,FL,DOD,48,1637,0,0
2018,Florida,FL,FS,47,7232,8,487
2018,Florida,FL,FWS,4,1071,1,614
2018,Florida,FL,NPS,15,6226,24,9822
2018,Florida,FL,OTHR,117,1209,10,750
2018,Florida,FL,ST,1692,44405,243,52789
2018,Florida,FL,USAF,33,8319,0,0
2018,Georgia,GA,DOD,0,0,0,0
2018,Georgia,GA,FS,2,11,1,1
2018,Georgia,GA,FWS,2,1,0,0
2018,Georgia,GA,OTHR,0,0,0,0
2018,Georgia,GA,ST,2496,13597,71,626
2018,Hawaii,HI,C&L,1,18000,0,0
2018,Hawaii,HI,FWS,0,0,0,0
2018,Hawaii,HI,NPS,2,3979,0,0
2018,Hawaii,HI,ST,0,0,0,0
2018,Idaho,ID,BIA,26,3392,2,0
2018,Idaho,ID,BLM,140,72461,81,274442
2018,Idaho,ID,BOR,2,50,0,0
2018,Idaho,ID,C&L,117,54812,11,4136
2018,Idaho,ID,DOD,0,0,1,2
2018,Idaho,ID,FS,121,76231,174,105505
2018,Idaho,ID,FWS,0,0,0,0
2018,Idaho,ID,NPS,0,0,0,0
2018,Idaho,ID,ST,397,8870,60,4580
