Year,Name,GACC,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,Lat,Long
2019,Old Grouch Top,AK,AK,Alaska,6/5/2019,8/1/2019,"307,969",L,"$61,000",63.3136289,-157.5963984
2019,Frozen Calf,AK,AK,Alaska,6/24/2019,7/11/2019,"240,543",L,"$4,332,806",66.7922377,-143.0352872
2019,Hess Creek,AK,AK,Alaska,6/21/2019,8/1/2019,"189,369",L,"$3,005,369",65.7016485,-149.6457657
2019,Swan Lake,AK,AK,Alaska,6/5/2019,10/2/2019,"167,183",L,"$48,101,094",57.0576058,-135.3470483
2019,Bearnose Hill,AK,AK,Alaska,6/29/2019,7/11/2019,"130,768",L,"$2,108,024",66.4669602,-143.4519539
2019,Woodbury,SW,AZ,Arizona,6/8/2019,7/5/2019,"123,875",U,"$20,000,000",34.1522737,-113.5033419
2019,Sheep,GB,ID,Idaho,6/22/2019,7/25/2019,"112,106",L,"$710,000",33.8384376,-121.3871384
2019,Black River,AK,AK,Alaska,6/18/2019,8/8/2019,"107,078",L,"$30,000",66.6641823,-144.7452873
2019,North River,AK,AK,Alaska,6/10/2019,7/21/2019,"101,451",L,"$40,000",63.8574394,-160.4713955
2019,Tractor Trail 2,AK,AK,Alaska,6/22/2019,7/11/2019,"92,628",L,"$461,188",66.6661700,-143.7281127
2019,Hurst Creek,AK,AK,Alaska,6/22/2019,7/4/2019,"85,261",L,"$231,175",63.2848195,-157.0863305
2019,Little Crazy Mountain,AK,AK,Alaska,6/21/2019,7/25/2019,"79,953",L,$0,65.8394606,-144.9330651
2019,Little Mud River,AK,AK,Alaska,6/21/2019,7/25/2019,"79,675",L,$0,64.6754300,-154.1129502
2019,Kincade,NO,CA,California,10/23/2019,11/7/2019,"77,758",U,"$77,144,684",39.8533934,-162.6310954
2019,Smith Creek,AK,AK,Alaska,6/30/2019,8/2/2019,"71,815",H,$0,64.2076468,-141.1952823
2019,Pothole,GB,ID,Idaho,8/6/2019,8/8/2019,"69,704",H,"$600,000",43.2454852,-114.8739607
2019,Hadweenzic River,AK,AK,Alaska,6/22/2019,7/19/2019,"62,068",L,"$5,004,308",66.4844793,-146.9406384
2019,Walker,NO,CA,California,8/16/2019,9/25/2019,"54,608",U,"$35,600,000",38.5149429,-119.4943425
2019,Wilderness,AK,AK,Alaska,6/20/2019,7/25/2019,"53,411",L,"$60,000",61.0638403,-149.7807598
2019,Foraker,AK,AK,Alaska,6/26/2019,7/25/2019,"49,980",L,"$203,477",61.2232184,-149.8057956
2019,Grouse Creek,AK,AK,Alaska,7/10/2019,8/7/2019,"49,533",L,"$2,000,000",65.5348315,-148.0148496
2019,Page Mountain,AK,AK,Alaska,6/22/2019,8/1/2019,"46,897",L,"$394,900",63.3650177,-155.6077873
2019,Williams Flatt,NW,WA,Washington,8/2/2019,8/24/2019,"44,446",L,"$19,432,000",47.1927793,-125.3698092
2019,Bergman Creek,AK,AK,Alaska,6/21/2019,7/25/2019,"42,300",L,"$1,233,004",66.5549996,-153.0643333
2019,Sawgrass,SA,FL,Florida,6/23/2019,6/27/2019,"42,000",L,$0,30.1902315,-81.4034545
2019,Cold Creek,NW,WA,Washington,7/18/2019,7/21/2019,"41,920",U,"$900,000",45.9378390,-122.8247936
2019,Tettjajik Creek,AK,AK,Alaska,7/2/2019,7/11/2019,"41,300",L,"$40,341",60.1511078,-176.4697581
2018,Mendocino Complex,NO,CA,California,7/27/2018,9/18/2018,"459,123",U,"$220,000,000",39.3115737,-123.8611545
2018,Martin,GB,NV,Nevada,7/5/2018,7/21/2018,"435,569",U,"$10,000,000",39.6041075,-119.8893707
2018,Rhea,SA,OK,Oklahoma,4/12/2018,4/26/2018,"286,196",U,"$3,800,000",35.8417460,-99.2523325
2018,South Sugarloaf,GB,NV,Nevada,8/17/2018,10/10/2018,"233,458",L,"$20,000,000",39.7220032,-119.2408331
2018,Carr,NO,CA,California,7/23/2018,8/30/2018,"229,651",U,"$162,289,294",34.9311229,-120.5293432
2018,Klondike,NW,OR,Oregon,7/15/2018,11/28/2018,"175,258",L,"$104,500,000",45.5826541,-120.6311751
2018,Camp,NO,CA,California,11/8/2018,11/25/2018,"153,336",U,"$120,000,000",37.2385573,-121.9914732
2018,Goose Creek,GB,NV,Nevada,7/26/2018,8/10/2018,"132,220",U,"$7,850,000",42.0767387,-114.5148706
2018,Spring Creek,RM,CO,Colorado,6/27/2018,9/6/2018,"108,045",H,"$35,000,000",40.5595444,-105.1134185
2018,Pole Creek,GB,UT,Utah,9/6/2018,10/8/2018,"102,191",L,"$29,100,000",40.6008837,-110.1358510
2018,Boxcar,NW,OR,Oregon,6/21/2018,7/3/2018,"100,207",U,"$3,500,000",43.4373563,-124.2387423
2018,Grassy Ridge,GB,ID,Idaho,7/26/2018,8/15/2018,"99,502",L,"$3,000,000",44.0751831,-111.9010549
2018,Woolsey,SO,CA,California,11/8/2018,11/27/2018,"96,949",U,"$56,943,320",38.4838323,-122.8372228
2018,Ferguson,SO,CA,California,7/13/2018,8/23/2018,"96,901",U,"$150,000,000",38.4840684,-123.0998993
2018,County,NO,CA,California,6/30/2018,7/14/2018,"90,288",U,"$47,000,000",38.6948994,-123.8822079
2018,Avian Complex,SA,FL,Florida,5/1/2018,5/29/2018,"82,461",U,"$10,781,364",27.5320801,-88.2986365
2018,Substation 0730 RN,NW,OR,Oregon,7/17/2018,8/2/2018,"78,425",H,"$4,200,000",44.0653956,-125.0720746
2018,Grass Valley,NW,WA,Washington,8/11/2018,8/15/2018,"75,573",U,"$875,000",45.6148687,-122.4791919
2018,Mallard,SA,TX,Texas,5/8/2018,5/20/2018,"75,530",U,$0,33.5831963,-97.6694831
2018,Boylston,NW,WA,Washington,7/19/2018,7/23/2018,"71,200",U,"$995,000",46.9137670,-120.2520137
2018,Dollar Ridge,GB,UT,Utah,7/1/2018,8/29/2018,"70,003",U,"$22,000,000",40.0741535,-110.9823945
2018,Zitziana River,AK,AK,Alaska,6/4/2018,9/7/2018,"69,332",L,"$2,440,527",64.6505643,-151.5736268
2018,Sharps,GB,ID,Idaho,7/29/2018,9/13/2018,"64,853",H,"$9,500,000",45.4141789,-118.6314446
2018,Delta,NO,CA,California,9/5/2018,10/7/2018,"63,311",H,"$64,429,020",38.0680068,-121.8602450
2018,34 Complex,SA,OK,Oklahoma,4/12/2018,4/24/2018,"62,481",OT,"$3,143,000",35.4828833,-97.7593849
2018,Buzzard,SA,FL,Florida,4/10/2018,5/1/2018,"62,404",L,"$10,419,127",27.8385658,-84.9942803
2018,Bruneau,GB,ID,Idaho,7/24/2018,7/28/2018,"61,691",L,"$1,750,000",42.8860323,-115.8116272
2018,OK Bar,SW,NM,New Mexico,4/22/2018,5/13/2018,"61,620",L,"$1,400,000",35.6361512,-98.3971742
2018,Roosevelt,GB,WY,Wyoming,9/15/2018,10/6/2018,"61,511",U,"$30,000,000",35.3156531,-106.2777019
2018,Sheep Creek,GB,NV,Nevada,8/18/2018,8/26/2018,"59,789",U,"$3,000,000",41.6612854,-117.2675822
2018,Watson Creek,NW,OR,Oregon,8/15/2018,9/9/2018,"59,061",U,"$19,139,000",42.6398994,-120.9083510
2018,Crescent Mountain,NW,WA,Washington,7/29/2018,11/28/2018,"56,609",U,"$40,705,000",47.6915432,-122.3008730
2018,Miles,NW,OR,Oregon,7/16/2018,10/17/2018,"54,334",L,"$2,000,000",2.7289285,-153.3826972
2018,Stubblefield 1008,NW,OR,Oregon,8/17/2018,9/20/2018,"54,221",L,"$2,200,000",44.0653956,-125.0720746
2018,416,RM,CO,Colorado,6/1/2018,7/31/2018,"54,129",U,"$39,541,000",38.2140068,-85.7675115
2018,Mooseheart,AK,AK,Alaska,6/7/2018,7/5/2018,"53,643",L,"$10,000",64.7455724,-151.0661204
2018,Taylor Creek,NW,OR,Oregon,7/15/2018,10/11/2018,"52,839",L,"$24,077,000",42.5270064,-123.6024584
2018,Perry,GB,NV,Nevada,7/27/2018,8/6/2018,"51,400",U,"$4,950,000",37.6136232,-116.0990273
2018,Badger Hole,RM,CO,Colorado,4/17/2018,4/22/2018,"50,671",H,"$131,444",38.9807262,-107.7938963
2018,Buzzard,SW,NM,New Mexico,5/22/2018,7/12/2018,"50,296",U,"$15,100,000",38.6346290,-114.5447448
2018,RIVER,NO,CA,California,7/27/2018,7/30/2018,"48,920",U,$0,36.8622123,-122.3994310
2018,HIRZ,NO,CA,California,8/9/2018,9/14/2018,"46,150",H,"$55,511,216",40.8776020,-122.2718445
2018,Jennies Peak 1039 RN,NW,OR,Oregon,8/17/2018,9/20/2018,"45,956",L,"$1,400,000",44.8334934,-120.2714211
2018,Dulby Hot Springs,AK,AK,Alaska,6/6/2018,9/1/2018,"44,364",L,"$40,000",60.1699296,-165.8986597
2018,206,SW,NM,New Mexico,4/12/2018,4/14/2018,"44,162",U,"$96,000",33.5834677,-103.3419849
2018,MM 117,RM,CO,Colorado,4/17/2018,4/20/2018,"42,795",H,"$775,000",38.9807262,-107.7938963
2018,Cougar Creek,NW,WA,Washington,7/28/2018,11/8/2018,"42,712",L,"$42,165,000",47.1796661,-123.5913632
2018,Terek,RM,WY,Wyoming,7/8/2018,7/13/2018,"42,267",L,"$890,000",42.9824418,-109.7976652
2017,NW Oklahoma Complex,SA,OK,Oklahoma,3/7/2017,3/24/2017,"779,292",U,"$3,200,000",35.5437596,-97.6626072
2017,Perryton,SA,TX,Texas,3/6/2017,3/13/2017,"318,156",H,$0,36.3873409,-100.8224840
2017,Thomas,SO,CA,California,12/4/2017,#VALUE!,"270,000",U,"$123,836,000",41.8766100,-87.7324966
2017,Lodgepole Complex,NR,MT,Montana,7/20/2017,8/11/2017,"270,000",U,"$9,800,000",46.5993990,-114.5325332
2017,Roosters Comb,GB,NV,Nevada,7/9/2017,7/24/2017,"218,380",U,"$4,000,000",40.9685480,-116.9148362
2017,Chetco Bar,NW,OR,Oregon,7/12/2017,10/26/2017,"191,125",L,"$72,000,000",42.2818051,-123.9812008
2017,Rice Ridge,NR,MT,Montana,7/24/2017,10/17/2017,"160,187",L,"$49,251,000",46.5997483,-113.1650588
2017,Four Seasons Complex,GB,NV,Nevada,7/16/2017,7/25/2017,"159,986",U,"$4,573,000",36.0909919,-115.1764346
2017,West Mims,SA,GA,Georgia,4/6/2017,6/29/2017,"152,515",L,"$45,500,000",32.3442433,-85.3419784
2017,Lefors East,SA,TX,Texas,3/7/2017,3/10/2017,"135,000",H,$0,35.4402177,-100.8084048
2017,Diamond Creek,NW,WA,Washington,7/23/2017,10/5/2017,"128,272",U,"$14,760,000",46.2434721,-125.3386842
2017,Central LNU Complex,NO,CA,California,10/9/2017,10/10/2017,"110,720",U,"$102,000,000",37.1930698,-123.7976814
2017,Sartin Draw,NR,MT,Montana,8/30/2017,9/4/2017,"99,735",L,"$1,500,000",45.7228068,-106.0580662
2017,Truckee,GB,NV,Nevada,7/3/2017,7/11/2017,"98,960",U,"$2,120,260",39.3518712,-120.2594755
2017,Tohakum 2,GB,NV,Nevada,8/29/2017,7/11/2017,"94,221",L,"$3,456,000",39.7006964,-119.9651806
2017,Campbell River,AK,AK,Alaska,6/26/2017,10/12/2017,"93,520",L,"$1,056,688",67.2503209,-141.4751250
2017,Oak,NO,CA,California,8/12/2017,9/23/2017,"86,830",L,$0,39.2731024,-121.6819605
2017,Highline,GB,ID,Idaho,7/28/2017,9/21/2017,"84,619",L,"$2,167,864",43.4853896,-111.8845937
2017,Long Valley,GB,CA,California,7/11/2017,7/21/2017,"83,733",U,"$11,953,000",37.7166315,-118.9018120
2017,Modoc July Complex,NO,CA,California,7/24/2017,8/13/2017,"83,120",U,"$35,200,000",41.5902151,-121.2881843
2017,Detwiler,SO,CA,California,7/16/2017,8/7/2017,"81,826",U,"$90,000,000",41.5107246,-125.2173423
