Year,Name,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,,,,
2005,Beaver Creek,AK,Alaska,6/20/2005,8/25/2005,"167,766",L,$0,,,,
2005,Chapman Creek,AK,Alaska,5/30/2005,7/9/2005,"162,670",L,$0,,,,
2005,Boundary Creek,AK,Alaska,7/12/2005,8/23/2005,"113,463",L,$0,,,,
2005,Sheenjek River,AK,Alaska,6/12/2005,7/10/2005,"107,240",L,$0,,,,
2005,Talbiksok,AK,Alaska,8/2/2005,8/28/2005,"76,369",L,$0,,,,
2005,Cave Creek Complex,AZ,Arizona,6/21/2005,7/11/2005,"248,310",L,$0,,,,
2005,Clover,ID,Idaho,7/15/2005,7/21/2005,"192,846",L,$0,,,,
2005,Ray River,AK,Alaska,6/6/2005,8/22/2005,"71,549",L,$0,,,,
2005,Coleen Mountain,AK,Alaska,7/24/2005,8/28/2005,"65,261",L,$0,,,,
2005,Grayling Creek,AK,Alaska,7/30/2005,8/22/2005,"44,970",L,$0,,,,
2006,Parks Hwy,AK,Alaska,6/7/2006,11/28/2006,"130,186",H,$0,,,,
2006,Nageethluk River,AK,Alaska,5/31/2006,11/28/2006,"52,540",L,"$65,000",,,,
2007,Caribou Hills,AK,Alaska,6/19/2007,7/5/2007,"55,638",H,"$7,124,524",,,,
2005,Hackberry Complex,CA,California,6/22/2005,7/6/2005,"70,736",L,$0,,,,
2008,,AK,Alaska,,,"48,697",,,,,,
2009,Bluff Creek,AK,Alaska,7/26/2009,11/10/2009,"41,756",L,$0,,,,
2005,Rupert,ID,Idaho,7/22/2005,7/27/2005,"47,592",L,$0,,,,
2009,Bear Creek,AK,Alaska,6/17/2009,9/25/2009,"50,897",L,$0,,,,
2006,Day,CA,California,9/4/2006,12/6/2006,"162,702",H,"$78,000,000",,,,
2009,Chakina,AK,Alaska,7/2/2009,8/25/2009,"56,413",L,"$1,933,616",,,,
2009,Rock Slough,AK,Alaska,6/30/2009,11/10/2009,"62,313",L,$0,,,,
2009,Sheenjek,AK,Alaska,7/2/2009,10/1/2009,"62,658",L,"$245,000",,,,
2009,Stevens Creek #1,AK,Alaska,6/18/2009,11/10/2009,"85,909",L,$0,,,,
2005,School Fire,WA,Washington,8/5/2005,10/1/2005,"49,515",U,$0,,,,
2009,Rex Creek,AK,Alaska,8/2/2009,9/1/2009,"101,150",L,$0,,,,
2007,,AZ,Arizona,,,"159,973",,,,,,
2006,Heat Fire,FL,Florida,6/2/2006,6/12/2006,"49,500",L,"$7,000",,,,
2006,Tripod Complex,WA,Washington,7/24/2006,11/9/2006,"113,011",L,"$68,175,390",,,,
2009,Wood River 1,AK,Alaska,7/12/2009,9/10/2009,"125,382",L,$0,,,,
2006,Sawtooth Complex,CA,California,7/9/2006,7/26/2006,"61,700",L,"$18,000,000",,,,
2005,Southern Nevada Complex,NV,Nevada,6/22/2005,7/18/2005,"508,751",L,$0,,,,
2008,,AZ,Arizona,,,"115,804",,,,,,
2005,,OK,Oklahoma,,,"79,592",,,,,,
2005,Delamar,NV,Nevada,6/28/2005,8/9/2005,"170,089",L,$0,,,,
2006,Esperanza,CA,California,10/26/2006,11/4/2006,"40,200",H,"$10,600,000",,,,
2005,Tryon Complex,OR,Oregon,8/8/2005,10/7/2005,"42,736",L,$0,,,,
2007,Ranch,CA,California,10/20/2007,10/27/2007,"58,401",U,"$9,000,000",,,,
2005,Meadow Valley,NV,Nevada,6/22/2005,8/10/2005,"146,035",L,$0,,,,
2009,,AZ,Arizona,,,"93,719",,,,,,
2010,,AZ,Arizona,,,"82,677",,,,,,
2012,,AZ,Arizona,,,"77,156",,,,,,
2008,Bridger Fire,CO,Colorado,6/8/2008,7/9/2008,"45,800",L,$0,,,,
2005,Westside Complex,UT,Utah,6/23/2005,6/30/2005,"68,264",L,$0,,,,
2006,South End Complex,OR,Oregon,8/21/2006,8/30/2006,"117,553",L,"$2,550,000",,,,
2005,Frank Church,ID,Idaho,8/1/2005,9/14/2005,"44,328",L,$0,,,,
2007,Poomacha,CA,California,10/23/2007,11/13/2007,"49,410",NR,"$20,658,000",,,,
2007,Lick,CA,California,9/3/2007,9/16/2007,"47,760",H,"$11,859,113",,,,
2007,Zaca Two,CA,California,7/4/2007,10/29/2007,"240,207",H,"$122,533,385",,,,
2007,Moonshine Bay,FL,Florida,2/25/2007,3/6/2007,"43,561",H,"$6,000",,,,
2006,Columbia Complex,OR,Oregon,8/21/2006,10/4/2006,"109,422",L,"$35,400,000",,,,
2006,Spur Peak,WA,Washington,7/3/2006,11/9/2006,"62,173",L,"$14,700",,,,
2005,,TX,Texas,,,"474,673",,"$10,032,927",,,,
2006,East Amarillo Complex,TX,Texas,3/12/2006,3/18/2006,"907,245",NR,$0,,,,
2006,Tatoosh Complex,WA,Washington,8/22/2006,10/4/2006,"51,671",L,"$33,500",,,,
2006,Jarvis,UT,Utah,6/25/2006,8/7/2006,"50,738",H,"$1,500,000",,,,
2009,Nowitna,AK,Alaska,6/13/2009,8/12/2009,"126,582",L,$0,,,,
2005,Valley Road,ID,Idaho,9/3/2005,9/27/2005,"40,868",H,$0,,,,
2007,Witch,CA,California,10/21/2007,11/6/2007,"197,990",H,"$18,000,000",,,,
2013,,AZ,Arizona,,,"74,396",,,,,,
2007,Florida Bugaboo,FL,Florida,5/5/2007,6/21/2007,"108,754",L,"$13,274,082",,,,
2006,Crystal,ID,Idaho,8/15/2006,8/31/2006,"220,042",L,"$1,600,000",,,,
2005,Black Range Complex WFU,NM,New Mexico,5/28/2005,8/5/2005,"80,502",L,$0,,,,
2005,,WY,Wyoming,,,"70,191",,"$15,445,000",,,,
2006,,WY,Wyoming,,,"69,170",,"$13,322,500",,,,
2007,,WY,Wyoming,,,"68,659",,"$12,261,250",,,,
2008,Gunbarrel,WY,Wyoming,7/26/2008,9/8/2008,"68,148",L,"$11,200,000",,,,
2009,,WY,Wyoming,,,"75,640",,"$12,150,000",,,,
2010,,WY,Wyoming,,,"79,386",,"$12,625,000",,,,
2011,,WY,Wyoming,,,"83,132",,"$12,862,500",,,,
2012,Arapaho,WY,Wyoming,6/27/2012,7/16/2012,"98,115",L,"$13,100,000",,,,
2012,Fontenelle,WY,Wyoming,6/24/2012,10/18/2012,"65,220",U,"$12,650,000",,,,
2012,Oil Creek,WY,Wyoming,6/29/2012,7/9/2012,"62,318",NR,"$5,282,964",,,,
2012,Alpine Lake,WY,Wyoming,8/9/2012,10/25/2012,"45,877",L,"$3,850,000",,,,
2013,,WY,Wyoming,,,"45,697",,"$5,058,964",,,,
2005,Esmerelda,NV,Nevada,7/15/2005,7/28/2005,"115,000",L,$0,,,,
2006,Happy Valley,OR,Oregon,7/22/2006,7/28/2006,"68,393",L,"$995,000",,,,
2007,Horse Heaven Complex,WA,Washington,7/13/2007,7/14/2007,"57,400",L,$0,,,,
2006,Foster Gulch Complex,OR,Oregon,7/23/2006,11/9/2006,"53,636",L,"$6,900,000",,,,
2006,Star Mountain,OR,Oregon,8/21/2006,8/27/2006,"43,545",L,$0,,,,
2015,,AZ,Arizona,,,"73,015",,,,,,
2018,,AZ,Arizona,,,"72,325",,,,,,
2011,Bear Springs Callie Marie,CO,Colorado,6/5/2011,6/21/2011,"44,662",L,"$2,500,000",,,,
2009,Zitziana,AK,Alaska,6/17/2009,8/16/2009,"141,125",L,$0,,,,
2007,Monument Complex,OR,Oregon,7/13/2007,8/6/2007,"54,000",L,"$11,600,000",,,,
2005,Wilson Complex,NV,Nevada,7/17/2005,7/20/2005,"57,652",L,$0,,,,
2012,High Park,CO,Colorado,6/9/2012,7/11/2012,"87,284",L,"$38,400,000",,,,
2006,McDonald,NM,New Mexico,3/12/2006,3/16/2006,"92,390",H,"$150,000",,,,
2007,Harris,CA,California,10/21/2007,11/10/2007,"90,440",U,"$21,000,000",,,,
2007,Moonlight,CA,California,9/3/2007,9/25/2007,"64,997",U,"$34,000,000",,,,
2007,Irish Spring,OR,Oregon,8/17/2007,8/31/2007,"47,936",U,"$5,500,000",,,,
2009,Tonclonukna Creek,AK,Alaska,5/23/2009,7/22/2009,"164,318",L,"$2,969,556",,,,
2006,Bear,NM,New Mexico,6/19/2006,7/4/2006,"51,307",U,"$7,000,000",,,,
2012,Last Chance,CO,Colorado,6/25/2012,6/26/2012,"45,000",U,"$10,000",,,,
2007,Wantoma,WA,Washington,8/16/2007,8/21/2007,"69,000",U,"$750,000",,,,
2014,,WY,Wyoming,,,"45,606",,"$5,663,446",,,,
2010,,CA,California,,,"128,518",,,,,,
2006,Ringgold,TX,Texas,1/1/2006,1/8/2006,"42,100",NR,$0,,,,
2008,Klamath Theater,CA,California,6/21/2008,9/26/2008,"192,038",L,"$126,086,065",,,,
2011,,CA,California,,,"177,428",,,,,,
2006,Derby Fire,MT,Montana,8/22/2006,11/6/2006,"223,570",L,"$23,000,000",,,,
2005,Fork,NV,Nevada,6/28/2005,7/4/2005,"43,149",L,$0,,,,
2007,Egley Complex,OR,Oregon,7/6/2007,9/6/2007,"140,359",L,"$16,648,047",,,,
2006,Black Pulaski Complex,MT,Montana,7/16/2006,7/23/2006,"124,905",L,"$3,200,000",,,,
