STATE,YEAR,STARTDATED,CONTRDATED,CAUSE,DLATITUDE,DLONGITUDE,TOTALACRES
Alaska,2004,7/3/04,9/15/04,Natural,62.8,-141.5,1000000
Alaska,1997,6/25/97,9/9/97,Natural,61.9827,-157.0857,606945
Idaho,2007,7/21/07,8/26/07,Natural,42.0369,-115.1089,590620
Oregon,2012,7/8/12,7/30/12,Natural,42.391894,-117.893687,558198.3
Alaska,1988,6/11/88,10/1/88,Natural,65.9,-148.11667,541231
Alaska,1988,6/11/88,10/1/88,Natural,65.8996,-148.1192,541231
Arizona,2011,5/29/11,7/12/11,Human,33.60611111,-109.4497222,538049
Alaska,2004,6/13/04,9/30/04,Natural,65.2663,-146.8858,537627
Alaska,2009,6/21/09,9/11/09,Natural,64.7467,-149.5047,517078
Colorado,2011,6/7/11,8/1/11,Human,0,0,500000
Oregon,2002,7/13/02,11/8/02,Natural,42.03888889,-123.9116667,499945
Oregon,2002,7/13/02,12/31/02,Natural,42.4008,-123.8983,499945
Alaska,2004,7/6/04,10/19/04,Natural,66.3033,-149.8817,483280
Alaska,2004,7/6/04,10/19/04,Natural,66.3029,-149.8843,483280
Texas,2006,3/12/06,3/12/06,Human,35.6678,-101.3708,479549
Alaska,1990,6/29/90,9/15/90,Natural,67.51667,-142.58333,464320
Alaska,1990,6/29/90,9/15/90,Natural,67.5164,-142.586,464320
Alaska,2004,6/18/04,11/9/04,Natural,63.8163,-143.819,463994
Nevada,2012,8/5/12,8/31/12,Natural,41.9733,-118.365,461047
Idaho,1988,7/22/88,11/4/88,Human,44.42,-111.105,427680
Alaska,2004,6/12/04,10/22/04,Natural,65.7467,-152.2315,419884
Alaska,2004,6/15/04,10/19/04,Natural,67.2071,-146.3702,403993
Alaska,1990,7/2/90,9/13/90,Natural,66.25,-151.45,400182
Alaska,1990,7/2/90,9/13/90,Natural,66.2495,-151.4526,400182
Idaho,1988,7/22/88,10/17/88,Natural,44.42166667,-111.1083333,400100
Oregon,2014,7/14/14,8/19/14,Natural,43.73658,-118.387435,395000
Montana,1988,7/9/88,10/20/88,Human,45.025,-109.7833333,387400
Alaska,1997,6/7/97,10/27/97,Natural,63.56667,-157.2,365871
Alaska,1997,6/7/97,10/27/97,Natural,63.566,-157.2024,365871
Utah,2007,7/6/07,8/3/07,Natural,38.5756,-112.9731,357185
Alaska,2009,6/20/09,9/28/09,Natural,66.2236,-143.2572,349449.9
Alaska,2004,6/15/04,10/19/04,Natural,66.96,-145.3433,344833
Alaska,2004,6/15/04,10/19/04,Natural,66.9597,-145.346,344833
Alaska,2004,6/15/04,11/9/04,Natural,64.0163,-142.0023,320155
California,2012,8/12/12,10/22/12,Natural,40.6153,-120.1153,315578.8
Alaska,2015,6/22/15,9/29/15,Natural,64.7343333,-155.009,312918.3
Alaska,2015,6/22/15,9/29/15,Natural,64.7342,-155.0089,312918.3
Georgia,2011,4/29/11,12/22/11,Natural,30.72972,-82.36861,309200
Alaska,1997,6/10/97,10/16/97,Natural,63.63333,-158.41667,308120
Alaska,1997,6/10/97,10/16/97,Natural,63.6327,-158.4191,308120
Idaho,2010,8/21/10,9/2/10,Natural,42.605,-115.5397,306113
Idaho,2010,8/21/10,9/2/10,Natural,42.605,-115.5397,306113
Georgia,2007,5/5/07,10/10/07,Natural,30.77416667,-82.27444444,305283
New Mexico,2012,5/16/12,7/31/12,Natural,33.34472,-108.71028,297845
Alaska,1988,6/29/88,10/1/88,Natural,65.98333,-145.81667,289360
Alaska,1988,6/29/88,10/1/88,Natural,65.983,-145.8192,289360
Alaska,2004,6/21/04,11/9/04,Natural,63.4497,-142.6689,284595
Idaho,2015,8/10/15,8/25/15,Natural,43.1175,-116.95946,283180
California,2003,10/25/03,11/25/03,Human,32.99882,-116.72293,283070
California,2003,10/26/03,11/6/03,Human,33.0334,-116.6342,281000
Oregon,2014,7/14/14,9/3/14,Natural,43.3283,-118.2244,280141
California,2003,10/25/03,10/25/03,Human,32.98555556,-116.7275,280059
Idaho,1988,7/22/88,11/4/88,Human,44.44369,-111.09675,279149
Alaska,2015,6/21/15,9/29/15,Natural,65.80116239,-153.4700711,276038.1
Alaska,2015,6/21/15,9/29/15,Natural,66.0322,-153.0222,276038.1
Idaho,2012,7/28/12,11/5/12,Natural,45.425,-114.59,275960
Alaska,1990,6/27/90,9/15/90,Natural,66.61667,-147.85,267930
Alaska,1990,6/27/90,9/15/90,Natural,66.6163,-147.8526,267930
Alaska,2004,6/28/04,11/1/04,Natural,64.4683,-157.1908,265919.9
Alaska,2004,6/28/04,11/1/04,Natural,64.4677,-157.1933,265919.9
Arizona,2002,6/18/02,6/18/02,Human,34.1084,-110.4859,259158.9
Alaska,2002,6/8/02,9/30/02,Natural,64.6403,-150.4502,257549
Alaska,2002,6/8/02,9/30/02,Natural,64.6403,-150.4502,257549
Alaska,2007,7/16/07,10/9/07,Natural,69.0472,-150.8367,256734.1
California,2013,8/17/13,10/24/13,Human,37.860556,-120.083056,255858
Washington,2014,7/14/14,11/18/14,Natural,48.5111,-120.0881,255575
Alaska,1991,6/30/91,9/30/91,Natural,66.73333,-152.11667,249784
Alaska,1991,6/30/91,9/30/91,Natural,66.7329,-152.1193,249784
Montana,2012,6/25/12,7/27/12,Natural,45.66972,-106.46917,249562
Montana,2012,6/25/12,7/27/12,Natural,45.6697,-106.4692,249060
Arizona,2005,6/21/05,7/11/05,Natural,33.97833333,-111.8227778,248310
Alaska,2005,6/13/05,9/26/05,Natural,66.66667,-148.08333,244599.7
Alaska,2005,6/13/05,9/26/05,Natural,66.73333,-148.08334,244599.7
Alaska,2005,6/13/05,9/26/05,Natural,66.7333,-148.0833,244599.7
Alaska,2004,6/14/04,10/19/04,Natural,65.5169,-143.1724,243900
Alaska,2004,6/14/04,10/19/04,Natural,65.5169,-143.1724,243900
Alaska,2004,6/14/04,10/19/04,Natural,65.9833,-145.5,243254
Alaska,2004,6/14/04,10/19/04,Natural,65.983,-145.0525,243254
Nevada,2006,7/26/06,8/3/06,Natural,41.3603,-116.9144,238462.6
Nevada,2005,6/22/05,7/5/05,Natural,37.2,-114.3831,238058
Alaska,2005,7/19/05,9/26/05,Natural,66.48333,-142.2,236701.5
Alaska,2005,7/19/05,9/26/05,Natural,66.4833,-142.2,236701.5
Alaska,2005,7/19/05,9/26/05,Natural,66.4833,-142.2,236701.5
Alaska,1999,6/20/99,9/9/99,Natural,66.78333,-142.23333,232828
Alaska,1999,6/20/99,9/9/99,Natural,66.78333,-142.23333,232828
Alaska,1999,6/20/99,9/9/99,Natural,66.7925,-142.2407,232828
Alaska,2005,6/16/05,9/30/05,Natural,66.0945,-151.5939,231821.8
Alaska,2005,6/16/05,9/30/05,Natural,66.16417,-152.01417,231821.8
Alaska,2005,6/16/05,9/30/05,Natural,66.1642,-152.0142,231821.8
Nevada,1999,8/4/99,8/20/99,Natural,40.5857,-118.499,231389
