Year,Name,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,,,,
2005,Beaver Creek,AK,Alaska,6/20/2005,8/25/2005,167766.00,L,0.00,,,,
2005,Chapman Creek,AK,Alaska,5/30/2005,7/9/2005,162670.00,L,0.00,,,,
2005,Boundary Creek,AK,Alaska,7/12/2005,8/23/2005,113463.00,L,0.00,,,,
2005,Sheenjek River,AK,Alaska,6/12/2005,7/10/2005,107240.00,L,0.00,,,,
2005,Talbiksok,AK,Alaska,8/2/2005,8/28/2005,76369.00,L,0.00,,,,
2005,Cave Creek Complex,AZ,Arizona,6/21/2005,7/11/2005,248310.00,L,0.00,,,,
2005,Clover,ID,Idaho,7/15/2005,7/21/2005,192846.00,L,0.00,,,,
2005,Ray River,AK,Alaska,6/6/2005,8/22/2005,71549.00,L,0.00,,,,
2005,Coleen Mountain,AK,Alaska,7/24/2005,8/28/2005,65261.00,L,0.00,,,,
2005,Grayling Creek,AK,Alaska,7/30/2005,8/22/2005,44970.00,L,0.00,,,,
2005,Hackberry Complex,CA,California,6/22/2005,7/6/2005,70736.00,L,0.00,,,,
2006,Nageethluk River,AK,Alaska,5/31/2006,11/28/2006,52540.00,L,65000.00,,,,
2007,Caribou Hills,AK,Alaska,6/19/2007,7/5/2007,55638.00,H,7124524.00,,,,
2005,Rupert,ID,Idaho,7/22/2005,7/27/2005,47592.00,L,0.00,,,,
2005,School Fire,WA,Washington,8/5/2005,10/1/2005,49515.00,U,0.00,,,,
2005,Southern Nevada Complex,NV,Nevada,6/22/2005,7/18/2005,508751.00,L,0.00,,,,
2005,,OK,Oklahoma,,,,,,,,,
2005,Delamar,NV,Nevada,6/28/2005,8/9/2005,170089.00,L,0.00,,,,
2006,Day,CA,California,9/4/2006,12/6/2006,162702.00,H,78000000.00,,,,
2009,Chakina,AK,Alaska,7/2/2009,8/25/2009,56413.00,L,1933616.00,,,,
2005,Tryon Complex,OR,Oregon,8/8/2005,10/7/2005,42736.00,L,0.00,,,,
2009,Sheenjek,AK,Alaska,7/2/2009,10/1/2009,62658.00,L,245000.00,,,,
2005,Meadow Valley,NV,Nevada,6/22/2005,8/10/2005,146035.00,L,0.00,,,,
2005,Westside Complex,UT,Utah,6/23/2005,6/30/2005,68264.00,L,0.00,,,,
2005,Frank Church,ID,Idaho,8/1/2005,9/14/2005,44328.00,L,0.00,,,,
2005,Valley Road,ID,Idaho,9/3/2005,9/27/2005,40868.00,H,0.00,,,,
2006,Heat Fire,FL,Florida,6/2/2006,6/12/2006,49500.00,L,7000.00,,,,
2006,Tripod Complex,WA,Washington,7/24/2006,11/9/2006,113011.00,L,68175390.00,,,,
2005,Black Range Complex WFU,NM,New Mexico,5/28/2005,8/5/2005,80502.00,L,0.00,,,,
2006,Sawtooth Complex,CA,California,7/9/2006,7/26/2006,61700.00,L,18000000.00,,,,
2005,Esmerelda,NV,Nevada,7/15/2005,7/28/2005,115000.00,L,0.00,,,,
2005,Wilson Complex,NV,Nevada,7/17/2005,7/20/2005,57652.00,L,0.00,,,,
2005,Fork,NV,Nevada,6/28/2005,7/4/2005,43149.00,L,0.00,,,,
2005,,CO,Colorado,,,,,,,,,
2006,Esperanza,CA,California,10/26/2006,11/4/2006,40200.00,H,10600000.00,,,,
2005,,SD,South Dakota,,,,,,,,,
2007,Ranch,CA,California,10/20/2007,10/27/2007,58401.00,U,9000000.00,,,,
2005,,FL,Florida,,,,,,,,,
2005,Edge Complex,AZ,Arizona,7/15/2005,7/30/2005,71635.00,L,0.00,,,,
2005,Tank Complex,AZ,Arizona,7/19/2005,7/27/2005,69934.00,L,0.00,,,,
2005,Goldwater,AZ,Arizona,6/17/2005,6/25/2005,58536.00,H,0.00,,,,
2005,,GA,Georgia,,,,,,,,,
2005,,MT,Montana,,,,,,,,,
2006,South End Complex,OR,Oregon,8/21/2006,8/30/2006,117553.00,L,2550000.00,,,,
2006,Parks Hwy,AK,Alaska,6/7/2006,11/28/2006,130186.00,H,0.00,,,,
2007,Poomacha,CA,California,10/23/2007,11/13/2007,49410.00,NR,20658000.00,,,,
2007,Lick,CA,California,9/3/2007,9/16/2007,47760.00,H,11859113.00,,,,
2007,Zaca Two,CA,California,7/4/2007,10/29/2007,240207.00,H,122533385.00,,,,
2007,Moonshine Bay,FL,Florida,2/25/2007,3/6/2007,43561.00,H,6000.00,,,,
2006,Columbia Complex,OR,Oregon,8/21/2006,10/4/2006,109422.00,L,35400000.00,,,,
2006,Spur Peak,WA,Washington,7/3/2006,11/9/2006,62173.00,L,14700.00,,,,
2005,,TX,Texas,,,907245.00,,10032926.50,,,,
2006,East Amarillo Complex,TX,Texas,3/12/2006,3/18/2006,907245.00,NR,0.00,,,,
2006,Tatoosh Complex,WA,Washington,8/22/2006,10/4/2006,51671.00,L,33500.00,,,,
2006,Jarvis,UT,Utah,6/25/2006,8/7/2006,50738.00,H,1500000.00,,,,
2006,Star Mountain,OR,Oregon,8/21/2006,8/27/2006,43545.00,L,0.00,,,,
2006,Ringgold,TX,Texas,1/1/2006,1/8/2006,42100.00,NR,0.00,,,,
2007,Witch,CA,California,10/21/2007,11/6/2007,197990.00,H,18000000.00,,,,
2006,,CO,Colorado,,,,,,,,,
2007,Florida Bugaboo,FL,Florida,5/5/2007,6/21/2007,108754.00,L,13274082.00,,,,
2006,Crystal,ID,Idaho,8/15/2006,8/31/2006,220042.00,L,1600000.00,,,,
2006,Rocker B,TX,Texas,1/2/2006,1/8/2006,42100.00,NR,0.00,,,,
2005,,WY,Wyoming,,,70191.00,,15445000.00,,,,
2006,,WY,Wyoming,,,69169.50,,13322500.00,,,,
2007,,WY,Wyoming,,,68658.75,,12261250.00,,,,
2008,Gunbarrel,WY,Wyoming,7/26/2008,9/8/2008,68148.00,L,11200000.00,,,,
2009,,WY,Wyoming,,,75639.75,,12150000.00,,,,
2010,,WY,Wyoming,,,79385.63,,12625000.00,,,,
2011,,WY,Wyoming,,,83131.50,,12862500.00,,,,
2012,Arapaho,WY,Wyoming,6/27/2012,7/16/2012,98115.00,L,13100000.00,,,,
2012,Fontenelle,WY,Wyoming,6/24/2012,10/18/2012,65220.00,U,12650000.00,,,,
2012,Oil Creek,WY,Wyoming,6/29/2012,7/9/2012,62318.00,NR,5282964.00,,,,
2012,Alpine Lake,WY,Wyoming,8/9/2012,10/25/2012,45877.00,L,3850000.00,,,,
2013,,WY,Wyoming,,,45696.50,,5058964.00,,,,
2006,Charleston Complex,NV,Nevada,8/15/2006,8/31/2006,190421.00,L,0.00,,,,
2006,Happy Valley,OR,Oregon,7/22/2006,7/28/2006,68393.00,L,995000.00,,,,
2006,Sheep,NV,Nevada,9/3/2006,9/17/2006,150270.00,L,0.00,,,,
2006,Foster Gulch Complex,OR,Oregon,7/23/2006,11/9/2006,53636.00,L,6900000.00,,,,
2006,Sailor Cap,ID,Idaho,8/23/2006,8/30/2006,61929.00,H,0.00,,,,
2006,Amazon,NV,Nevada,9/3/2006,9/17/2006,108564.00,L,0.00,,,,
2006,Buckle L 2,TX,Texas,3/12/2006,3/20/2006,40000.00,NR,0.00,,,,
2011,Bear Springs Callie Marie,CO,Colorado,6/5/2011,6/21/2011,44662.00,L,2500000.00,,,,
2006,,SD,South Dakota,,,,,,,,,
2007,Monument Complex,OR,Oregon,7/13/2007,8/6/2007,54000.00,L,11600000.00,,,,
2006,South Fork Complex,ID,Idaho,8/8/2006,11/30/2006,52690.00,L,0.00,,,,
2012,High Park,CO,Colorado,6/9/2012,7/11/2012,87284.00,L,38400000.00,,,,
2006,McDonald,NM,New Mexico,3/12/2006,3/16/2006,92390.00,H,150000.00,,,,
2007,Harris,CA,California,10/21/2007,11/10/2007,90440.00,U,21000000.00,,,,
2007,Moonlight,CA,California,9/3/2007,9/25/2007,64997.00,U,34000000.00,,,,
2007,Irish Spring,OR,Oregon,8/17/2007,8/31/2007,47936.00,U,5500000.00,,,,
